zip,das_type
01002,DAS
01005,EDAS
01007,DAS
01008,EDAS
01010,DAS
01011,EDAS
01012,EDAS
01026,REMOTE
01029,DAS
01031,EDAS
01032,DAS
01033,DAS
01034,EDAS
01036,DAS
01037,EDAS
01038,DAS
01039,DAS
01050,EDAS
01054,EDAS
01056,DAS
01057,DAS
01066,EDAS
01068,EDAS
01069,DAS
01070,EDAS
01071,EDAS
01072,REMOTE
01073,DAS
01074,EDAS
01079,DAS
01080,DAS
01081,EDAS
01082,DAS
01083,DAS
01084,EDAS
01088,DAS
01092,EDAS
01093,DAS
01094,DAS
01096,EDAS
01097,DAS
01098,EDAS
01220,DAS
01222,EDAS
01223,EDAS
01224,DAS
01225,DAS
01226,DAS
01227,DAS
01229,EDAS
01230,EDAS
01235,EDAS
01236,DAS
01237,EDAS
01240,DAS
01243,EDAS
01244,EDAS
01245,EDAS
01247,DAS
01252,DAS
01253,EDAS
01254,EDAS
01255,EDAS
01256,EDAS
01257,DAS
01258,EDAS
01259,EDAS
01260,DAS
01262,EDAS
01263,EDAS
01264,EDAS
01266,EDAS
01267,DAS
01270,EDAS
01330,EDAS
01331,DAS
01337,DAS
01338,DAS
01339,EDAS
01340,EDAS
01341,EDAS
01343,EDAS
01344,EDAS
01346,EDAS
01349,DAS
01350,EDAS
01351,DAS
01355,EDAS
01360,EDAS
01364,DAS
01366,EDAS
01367,EDAS
01368,REMOTE
01370,EDAS
01375,DAS
01376,DAS
01378,EDAS
01379,EDAS
01380,DAS
01420,DAS
01430,DAS
01431,DAS
01432,DAS
01436,DAS
01438,DAS
01450,DAS
01451,DAS
01452,EDAS
01462,DAS
01463,DAS
01464,DAS
01468,DAS
01469,DAS
01470,DAS
01471,DAS
01473,DAS
01474,DAS
01475,EDAS
01503,DAS
01504,DAS
01506,DAS
01507,EDAS
01509,DAS
01515,DAS
01516,DAS
01518,DAS
01521,DAS
01522,DAS
01523,DAS
01529,DAS
01531,EDAS
01535,DAS
01541,DAS
01542,DAS
01543,DAS
01550,DAS
01561,EDAS
01562,DAS
01566,DAS
01568,DAS
01585,EDAS
01590,DAS
01611,DAS
01612,DAS
01720,DAS
01741,DAS
01754,DAS
01756,EDAS
01770,DAS
01773,DAS
01775,DAS
01826,DAS
01827,DAS
01830,DAS
01832,DAS
01833,DAS
01860,DAS
01879,DAS
01885,EDAS
01921,DAS
01922,DAS
01929,DAS
01930,DAS
01936,DAS
01938,DAS
01944,DAS
01949,DAS
01950,DAS
01951,DAS
01952,DAS
01966,DAS
01969,DAS
01982,DAS
01983,DAS
01985,DAS
02025,DAS
02030,DAS
02031,DAS
02045,DAS
02047,EDAS
02053,DAS
02054,DAS
02056,DAS
02066,DAS
02108,DAS
02109,DAS
02110,DAS
02111,DAS
02113,DAS
02114,DAS
02116,DAS
02127,DAS
02203,DAS
02210,DAS
02269,DAS
02330,DAS
02332,DAS
02338,DAS
02341,DAS
02347,DAS
02364,DAS
02366,DAS
02367,DAS
02534,DAS
02535,REMOTE
02536,DAS
02538,DAS
02539,REMOTE
02540,DAS
02541,DAS
02542,DAS
02552,REMOTE
02554,REMOTE
02557,REMOTE
02564,REMOTE
02568,REMOTE
02574,EDAS
02575,REMOTE
02584,REMOTE
02630,DAS
02631,DAS
02633,DAS
02635,DAS
02638,DAS
02639,DAS
02641,DAS
02642,DAS
02643,DAS
02645,DAS
02646,DAS
02647,DAS
02648,DAS
02650,DAS
02651,DAS
02652,DAS
02653,DAS
02655,DAS
02657,DAS
02659,DAS
02660,DAS
02662,DAS
02663,EDAS
02666,EDAS
02667,EDAS
02668,DAS
02669,DAS
02670,DAS
02671,DAS
02675,DAS
02702,DAS
02713,EDAS
02715,DAS
02717,DAS
02722,DAS
02739,DAS
02743,DAS
02744,DAS
02748,DAS
02769,EDAS
02770,EDAS
02777,DAS
02779,DAS
02790,DAS
02791,EDAS
02801,DAS
02804,DAS
02807,REMOTE
02808,EDAS
02812,DAS
02813,EDAS
02814,DAS
02815,EDAS
02816,DAS
02817,DAS
02818,DAS
02822,EDAS
02825,EDAS
02827,EDAS
02829,DAS
02830,EDAS
02832,EDAS
02833,EDAS
02835,DAS
02836,DAS
02837,DAS
02838,DAS
02839,DAS
02857,EDAS
02858,DAS
02859,DAS
02872,EDAS
02873,DAS
02874,EDAS
02875,EDAS
02876,DAS
02877,DAS
02878,DAS
02879,DAS
02880,DAS
02883,EDAS
02891,DAS
02892,EDAS
02894,EDAS
02896,DAS
02898,REMOTE
03032,DAS
03033,DAS
03034,DAS
03036,DAS
03037,EDAS
03040,DAS
03043,EDAS
03044,EDAS
03045,DAS
03046,DAS
03047,EDAS
03048,DAS
03049,DAS
03055,DAS
03057,DAS
03070,DAS
03071,EDAS
03082,EDAS
03084,DAS
03086,DAS
03215,EDAS
03216,EDAS
03217,EDAS
03218,EDAS
03220,DAS
03221,EDAS
03222,EDAS
03223,EDAS
03224,EDAS
03225,EDAS
03226,DAS
03227,EDAS
03229,DAS
03230,EDAS
03231,EDAS
03233,DAS
03234,EDAS
03235,DAS
03237,EDAS
03238,DAS
03240,EDAS
03241,EDAS
03242,EDAS
03243,EDAS
03244,EDAS
03245,EDAS
03246,DAS
03249,DAS
03251,EDAS
03252,DAS
03253,EDAS
03254,DAS
03255,EDAS
03256,EDAS
03257,DAS
03258,DAS
03259,EDAS
03260,EDAS
03261,EDAS
03262,EDAS
03263,EDAS
03264,DAS
03266,EDAS
03268,EDAS
03269,EDAS
03272,EDAS
03273,EDAS
03275,DAS
03278,EDAS
03279,EDAS
03280,REMOTE
03281,DAS
03282,EDAS
03284,EDAS
03285,EDAS
03287,EDAS
03290,EDAS
03291,DAS
03293,DAS
03303,DAS
03304,DAS
03307,EDAS
03440,EDAS
03441,EDAS
03442,EDAS
03443,EDAS
03444,EDAS
03445,EDAS
03446,DAS
03447,EDAS
03448,DAS
03449,DAS
03450,EDAS
03451,DAS
03452,DAS
03455,EDAS
03456,EDAS
03457,EDAS
03458,DAS
03461,DAS
03462,EDAS
03464,EDAS
03465,EDAS
03466,DAS
03467,DAS
03469,DAS
03470,DAS
03561,EDAS
03570,DAS
03574,EDAS
03575,DAS
03576,EDAS
03579,EDAS
03580,EDAS
03581,DAS
03582,EDAS
03583,EDAS
03584,DAS
03585,DAS
03586,EDAS
03588,REMOTE
03590,EDAS
03592,EDAS
03593,EDAS
03595,EDAS
03597,REMOTE
03598,DAS
03601,EDAS
03602,EDAS
03603,EDAS
03605,EDAS
03607,EDAS
03608,DAS
03609,EDAS
03740,EDAS
03741,DAS
03743,DAS
03745,EDAS
03746,EDAS
03748,DAS
03750,EDAS
03751,EDAS
03752,EDAS
03753,DAS
03754,DAS
03765,EDAS
03768,EDAS
03769,DAS
03770,DAS
03771,DAS
03773,DAS
03774,DAS
03777,EDAS
03779,EDAS
03780,EDAS
03781,EDAS
03782,EDAS
03785,DAS
03809,EDAS
03810,EDAS
03811,DAS
03812,EDAS
03813,EDAS
03814,EDAS
03815,EDAS
03816,EDAS
03817,EDAS
03818,EDAS
03819,DAS
03823,DAS
03824,DAS
03825,DAS
03827,DAS
03830,EDAS
03832,EDAS
03835,EDAS
03836,EDAS
03837,EDAS
03838,DAS
03841,DAS
03844,DAS
03845,EDAS
03846,EDAS
03848,DAS
03849,EDAS
03850,DAS
03851,EDAS
03852,EDAS
03853,EDAS
03855,EDAS
03856,DAS
03860,EDAS
03861,DAS
03864,EDAS
03868,DAS
03869,DAS
03870,DAS
03872,EDAS
03873,DAS
03875,EDAS
03882,EDAS
03883,EDAS
03884,EDAS
03886,EDAS
03887,EDAS
03890,EDAS
03894,EDAS
03896,EDAS
03897,EDAS
03901,DAS
03902,DAS
03903,DAS
03905,DAS
03907,DAS
03908,DAS
04001,EDAS
04002,DAS
04003,EDAS
04008,EDAS
04009,EDAS
04010,EDAS
04013,EDAS
04015,EDAS
04016,EDAS
04017,REMOTE
04019,REMOTE
04020,EDAS
04021,DAS
04022,EDAS
04024,EDAS
04027,EDAS
04029,EDAS
04030,DAS
04032,EDAS
04033,DAS
04034,EDAS
04037,EDAS
04038,DAS
04039,DAS
04040,EDAS
04041,EDAS
04042,DAS
04046,DAS
04047,EDAS
04048,EDAS
04049,EDAS
04050,REMOTE
04051,EDAS
04053,EDAS
04054,DAS
04055,EDAS
04056,EDAS
04057,EDAS
04061,DAS
04062,DAS
04063,EDAS
04066,EDAS
04068,EDAS
